Job Title,Digital Work,Routine Work,Cognitive/ Innovation Work,Interpersonal Work,Management Work,Education Level,2 Digit NAICS Industy
Entomologist,20%,30%,40%,5%,5%,PhD,11
Environmental Analyst,40%,20%,30%,10%,5%,Bachelors,54
Environmental Attorney,30%,20%,30%,15%,5%,Professional Certificate,54
Environmental Communications Specialist,60%,20%,50%,40%,10%,Bachelors,54
Environmental Conservation Professor,20%,10%,40%,20%,10%,PhD,61
Environmental Economist,40%,20%,30%,10%,10%,Masters,54
Environmental Engineering Technologist,30%,20%,30%,10%,10%,Bachelors,54
Environmental engineering technologists and technicians,30%,40%,20%,10%,5%,Associates,54
Environmental engineers,30%,20%,30%,10%,10%,Bachelors,54
Environmental Epidemiologist,40%,20%,30%,10%,10%,Masters,62
Environmental Geologist,30%,20%,40%,10%,10%,Bachelors,54
Environmental Health Sanitarian,20%,30%,30%,15%,5%,Bachelors,62
Environmental Health Technologist,30%,40%,20%,10%,5%,Bachelors,62
Environmental Law Professor,30%,10%,40%,15%,5%,Doctorate,61
Environmental Protection Fire Control Officer,20%,30%,25%,15%,10%,Bachelors,92
Environmental Protection Forester,20%,30%,30%,10%,10%,Bachelors,11
Environmental Remediation Engineer,30%,20%,30%,10%,10%,Bachelors,54
Environmental Remediation Engineering Technician,30%,30%,25%,10%,5%,Associates,54
"Environmental Science, Management and Policy Professor",20%,10%,40%,20%,10%,PhD,61
Environmental science and protection technicians,20%,40%,30%,10%,5%,Associates,54
Environmental Science Professor,30%,10%,40%,15%,5%,PhD,61
Environmental Science Technician,30%,40%,20%,10%,0%,Associates,54
Environmental Scientist,30%,20%,40%,10%,10%,Masters,54
Environmental scientists and specialists,30%,20%,40%,10%,10%,Bachelors,54
Environmental Statistician,70%,10%,60%,20%,10%,Masters,54
Environmental Studies Professor,30%,10%,40%,15%,5%,PhD,61
Environmental Technician,30%,40%,20%,10%,0%,Associates,54
Epidemiologists,30%,20%,40%,10%,5%,PhD,62
Epidemiology Investigator,30%,20%,40%,10%,5%,Masters,62
Epileptologist,20%,20%,40%,20%,0%,Doctorate,62
Equestrian Events Judge,10%,30%,40%,20%,0%,Professional Certificate,71
Equine Breeder,10%,40%,20%,20%,10%,Professional Certificate,11
Equine Veterinarian,10%,40%,30%,15%,5%,Doctorate,54
"Equipment, Supplies, and Tools Purchasing Agent",40%,30%,20%,10%,10%,Associates,42
Equipment Cleaner,5%,80%,5%,10%,0%,Highschool,81
Equity Trader,70%,20%,70%,40%,20%,Bachelors,52
Erecting Crane Operator,5%,70%,10%,10%,5%,Professional Certificate,23
Ergonomics Technician,30%,40%,20%,10%,0%,Associates,54
Escalator Installer,5%,60%,20%,10%,5%,Professional Certificate,23
Escalator Mechanic,10%,60%,20%,5%,5%,Professional Certificate,23
Escalator Service Mechanic,10%,60%,20%,5%,5%,Professional Certificate,81
Estate Appraiser,30%,40%,20%,10%,0%,Professional Certificate,53
Estate Conservator,10%,30%,20%,30%,10%,Bachelors,53
Estate Planner,40%,30%,20%,10%,20%,Professional Certificate,52
Estate Planning Counselor,30%,20%,30%,20%,10%,Professional Certificate,54
Esthetician,10%,60%,10%,20%,0%,Professional Certificate,81
Ethics Professor,20%,10%,50%,20%,0%,PhD,61
Ethnoarchaeologist,10%,20%,50%,15%,5%,PhD,54
Ethnoarchaeology Professor,20%,10%,50%,15%,5%,PhD,61
Ethnographic Materials Conservator,30%,20%,40%,10%,10%,Masters,71
Ethnology Professor,20%,10%,50%,15%,5%,PhD,61
Etymology Professor,20%,20%,40%,20%,10%,PhD,61
Evaporative Cooler Installer,10%,60%,20%,10%,0%,Highschool,23
Event AV Operator,40%,30%,10%,20%,0%,Professional Certificate,71
Event Planner,30%,20%,20%,30%,20%,Bachelors,71
Events Manager,30%,20%,20%,30%,40%,Bachelors,71
Exchange Teller,30%,50%,10%,10%,0%,Highschool,52
Executive Assistant,70%,60%,30%,80%,40%,Bachelors,54
Executive Casino Host,20%,30%,20%,30%,20%,Bachelors,71
Executive Chef,10%,30%,40%,15%,5%,Professional Certificate,72
Executive Pilot,20%,40%,20%,10%,10%,Professional Certificate,48
Exercise physiologists,10%,30%,30%,30%,10%,Bachelors,62
Exhibitions and Collections Manager,40%,20%,20%,10%,10%,Masters,71
Exotic Dancer,5%,40%,20%,35%,0%,None,71
Expanded Functions Dental Assistant,10%,60%,10%,20%,0%,Professional Certificate,62
Expeditor,30%,40%,10%,15%,5%,Highschool,42
Experimental Psychologist,30%,20%,40%,10%,0%,PhD,62
Exploration Geologist,20%,30%,40%,5%,5%,Masters,21
Export Manager,40%,20%,20%,10%,10%,Bachelors,42
Exterminator,5%,70%,10%,10%,5%,Highschool,56
Extragalactic Astronomer,40%,10%,40%,5%,5%,PhD,54
Eyeglass Assembler,10%,70%,10%,5%,5%,Highschool,31
Eyeglass Fitter,10%,60%,10%,20%,0%,Professional Certificate,44
Eyeglass Lens Cutter,10%,70%,10%,5%,5%,Highschool,33
Eyeglass Maker,10%,60%,20%,5%,5%,Highschool,31
FAA Certified Powerplant Mechanic,10%,40%,30%,10%,10%,Professional Certificate,81
Facetor,5%,60%,25%,10%,0%,Professional Certificate,31
Facialist,5%,60%,10%,25%,0%,Professional Certificate,81
Facilities Engineer,30%,20%,25%,15%,10%,Bachelors,54
Facilities Maintenance Worker,10%,60%,10%,15%,5%,Highschool,56
Facilities Painter,5%,70%,15%,10%,0%,Highschool,23
Falafel Cart Cook,5%,70%,10%,15%,5%,None,72
Family and Consumer Sciences Professor,30%,20%,30%,20%,10%,PhD,61
Family Counselor,10%,20%,40%,30%,0%,Masters,62
Family Dentist,10%,40%,25%,20%,5%,Doctorate,62
Family Health Nurse Practitioner,20%,30%,30%,70%,10%,Masters,62
Family Physician,20%,30%,30%,20%,0%,Doctorate,62
Family Practice Medical Doctor,20%,30%,30%,20%,0%,Doctorate,62
Family Practice Nurse Practitioner,20%,30%,30%,20%,5%,Masters,62
Family Practice Physician Assistant,15%,25%,30%,30%,5%,Professional Certificate,62
Family Practice Physician,15%,25%,40%,20%,5%,Doctorate,62
Family Practitioner,20%,30%,30%,20%,0%,Doctorate,62
Family Preservation Caseworker,30%,20%,25%,25%,10%,Bachelors,62
Family Preservation Worker,20%,30%,25%,50%,10%,Bachelors,62
Family Resource Management Professor,30%,20%,30%,20%,10%,PhD,61
Family Service Assistant,30%,40%,20%,60%,10%,Associates,62
Family Service Caseworker,20%,30%,20%,25%,5%,Bachelors,62
Family Service Center Director,20%,20%,20%,30%,10%,Bachelors,62
Family Sociologist,20%,20%,40%,20%,0%,PhD,61
Family Therapist,20%,20%,40%,80%,10%,Masters,62
Family Welfare Social Work Professor,20%,10%,40%,30%,10%,PhD,61
Fan Mail Editor,60%,30%,40%,70%,10%,Bachelors,51
Fare Collector,10%,70%,5%,10%,5%,Highschool,48
Farm Equipment Engineer,20%,30%,30%,10%,10%,Bachelors,11
"Farmers, ranchers, and other agricultural managers",10%,40%,20%,15%,15%,Highschool,11
Farm Management Professor,20%,10%,40%,20%,10%,PhD,61
Farm Tractor Operator,5%,80%,10%,5%,0%,Highschool,11
Farrowing Worker,5%,70%,10%,15%,0%,Highschool,11
Fashion designers,30%,20%,30%,15%,5%,Bachelors,45
Fashion Illustrator,70%,20%,60%,30%,10%,Bachelors,45
Fashion Model,10%,40%,20%,30%,0%,Highschool,71
Fast Food Cook,5%,80%,5%,10%,0%,None,72
Fast Food Fry Cook,5%,80%,5%,10%,0%,None,72
FBI Investigator,40%,20%,30%,60%,20%,Bachelors,92
Feed Mill Lab Technician,20%,40%,20%,10%,10%,Associates,31
Feed Mixer Operator,10%,70%,10%,5%,5%,Highschool,31
Feed Research Technician,20%,40%,25%,10%,5%,Associates,11
Feller Buncher Operator,5%,70%,10%,5%,10%,Highschool,11
Feller Operator,5%,70%,10%,5%,10%,Highschool,11
Ferry Boat Captain,10%,40%,20%,20%,10%,Professional Certificate,48
Ferryboat Captain,10%,40%,20%,20%,10%,Professional Certificate,48
Ferry Captain,10%,40%,20%,20%,10%,Professional Certificate,48
Ferry Engineer,10%,40%,30%,10%,10%,Professional Certificate,48
Fiberglass Boat Builder,5%,60%,20%,10%,5%,Highschool,33
Fiberglasser,5%,70%,15%,5%,5%,Highschool,31
Fiberglass Fabricator,10%,60%,20%,5%,5%,Highschool,32
Fiberglass Grinder,5%,70%,10%,5%,10%,Highschool,32
Fiberglass Laminator,5%,70%,15%,5%,5%,Highschool,31
Fiberglass Luggage Molder,5%,70%,10%,5%,10%,Highschool,32
Fiberglass Machine Operator,10%,70%,10%,5%,5%,Highschool,32
Fiberglass Roller,5%,70%,10%,10%,5%,Highschool,32
Fiberglass Ski Maker,5%,60%,25%,5%,5%,Highschool,33
Fiber Optic Central Office Installer,30%,50%,10%,5%,5%,Professional Certificate,23
Fiber Optic Technician,40%,40%,10%,5%,5%,Professional Certificate,23
Field Auditor,40%,30%,20%,10%,0%,Bachelors,54
Field Enumerator,20%,50%,10%,20%,0%,Highschool,62
Field Map Technician,40%,30%,20%,5%,5%,Associates,54
Figure Model,5%,30%,20%,45%,0%,None,71
File Keeper,70%,80%,10%,20%,5%,Highschool,51
Film and video editors and camera operators,70%,20%,60%,30%,10%,Bachelors,51
Film Archivist,60%,20%,10%,5%,5%,Masters,51
Film Critic,40%,20%,30%,10%,0%,Bachelors,51
Film Editor,90%,30%,60%,20%,10%,Bachelors,51
Film Librarian,40%,30%,20%,10%,0%,Associates,51
Film Library Clerk,40%,40%,10%,10%,0%,Highschool,51
Film Maker,40%,20%,25%,10%,5%,Bachelors,51
Film Sound Engineer,70%,20%,60%,30%,10%,Bachelors,51
Finance Professor,30%,20%,30%,15%,5%,PhD,61
Financial Accountant,70%,60%,50%,20%,10%,Bachelors,52
Financial analysts,70%,20%,70%,40%,30%,Bachelors,52
Financial Auditor,70%,20%,60%,30%,20%,Bachelors,54
Financial clerks,70%,60%,30%,40%,10%,Associates,52
Financial Compliance Examiner,40%,30%,20%,10%,10%,Bachelors,52
Financial Counselor,40%,20%,20%,20%,0%,Bachelors,52
Financial Director,40%,20%,20%,10%,10%,Masters,52
Financial examiners,40%,30%,20%,10%,5%,Bachelors,52
Financial managers,40%,20%,20%,10%,10%,Bachelors,52
Financial Officer,70%,20%,60%,40%,50%,Bachelors,52
Financial Risk Analyst,70%,20%,70%,30%,10%,Masters,52
Fingernail Sculptor,5%,60%,25%,10%,0%,Professional Certificate,81
Fingerprint Expert,40%,30%,20%,10%,0%,Bachelors,54
Finish Carpenter,5%,60%,20%,10%,5%,Professional Certificate,23
FIOS Line Installer,20%,60%,10%,10%,0%,Highschool,23
Firebrick Layer,5%,70%,10%,10%,5%,Highschool,23
Firebrick Layer Helper,5%,70%,10%,15%,0%,Highschool,23
Fire Claims Adjuster,40%,30%,20%,10%,0%,Bachelors,52
Fire Dispatcher,40%,30%,10%,20%,0%,Highschool,92
Fire Engine Pump Operator,5%,60%,20%,10%,5%,Highschool,92
Fire Equipment Operator,10%,40%,20%,30%,0%,Highschool,92
Fire Fighter,5%,40%,25%,30%,5%,Highschool,92
Firefighters,5%,40%,20%,35%,5%,Highschool,92
Fire Hazard Inspector,10%,40%,30%,20%,0%,Associates,92
Fire inspectors,10%,40%,30%,20%,10%,Associates,92
Fire Investigator,20%,30%,30%,20%,10%,Professional Certificate,92
Fire Operations Forester,10%,30%,30%,20%,10%,Bachelors,11
Fire Prevention Engineer,30%,20%,30%,10%,10%,Bachelors,54
Fire Prevention Inspector,10%,40%,30%,20%,10%,Associates,92
Fire Protection Engineer,30%,20%,40%,10%,20%,Bachelors,54
Fire Ranger,10%,40%,30%,20%,10%,Associates,92
Fire Safety Inspector,20%,40%,20%,20%,0%,Associates,92
Fire Sprinkler Installer,5%,70%,10%,10%,5%,Professional Certificate,23
First Mate,10%,40%,20%,20%,10%,Professional Certificate,48
Fiscal Manager,70%,20%,60%,40%,50%,Bachelors,52
Fish and Wildlife Warden,10%,40%,30%,15%,5%,Bachelors,11
Fish Culturist,10%,40%,30%,10%,10%,Associates,11
Fishery Biologist,20%,30%,30%,10%,10%,Masters,11
Fish Fryer,5%,80%,5%,10%,0%,None,72
Fish Hatchery Manager,20%,40%,20%,10%,10%,Associates,11
Fishing and hunting workers,5%,70%,15%,10%,5%,Highschool,11
Fishing Boat Captain,10%,40%,20%,20%,10%,Highschool,11
Fish Smoker,5%,70%,10%,10%,5%,None,31
Fish Warden,10%,40%,20%,20%,10%,Associates,11
Fitness Club Manager,30%,20%,20%,30%,50%,Bachelors,71
Fitness Trainer,10%,40%,20%,30%,5%,Professional Certificate,71
Fitness trainers and instructors,10%,40%,20%,30%,5%,Professional Certificate,71
Fixed Capital Clerk,60%,30%,5%,5%,0%,Associates,52
Flame Hardening Machine Setter,5%,70%,15%,5%,5%,Highschool,33
Flat Sorter Operator,10%,70%,10%,5%,5%,Highschool,49
Flat Sorting Machine Clerk,30%,60%,5%,5%,0%,Highschool,49
Flavor Technician,20%,40%,30%,10%,0%,Associates,31
Flight attendants,10%,40%,20%,30%,0%,Highschool,48
Flight Crew Scheduler,60%,20%,10%,10%,0%,Associates,48
Flight Crew Time Clerk,40%,40%,10%,10%,0%,Highschool,48
Flight Data Technician,70%,20%,10%,10%,5%,Associates,48
Flight Instructor (Commercial Pilots),10%,30%,40%,20%,0%,Professional Certificate,61
Flight Paramedic,10%,40%,30%,20%,0%,Professional Certificate,62
Flight Steward,5%,60%,10%,25%,0%,Highschool,48
Flight Systems Test Engineer,40%,20%,30%,5%,5%,Bachelors,54
Flight Test Engineer,30%,20%,40%,10%,0%,Bachelors,54
Flight Test Mechanic,10%,40%,30%,10%,10%,Associates,48
Floor Cleaner,5%,90%,5%,10%,0%,None,56
Floor Finisher,5%,70%,10%,15%,0%,Highschool,23
Flooring installers and tile and stone setters,5%,70%,15%,10%,5%,Highschool,23
Floor Refinisher,5%,70%,10%,10%,5%,Highschool,23
Floor Sander,5%,80%,5%,10%,0%,Highschool,23
Floor Sanding Machine Operator,5%,80%,10%,5%,0%,Highschool,23
Floor Scraper,0%,90%,5%,5%,0%,None,23
Floral Arranger,5%,60%,25%,10%,0%,Highschool,45
Floral Artist,10%,40%,30%,15%,5%,Highschool,45
Floral Decorator,10%,40%,30%,20%,0%,Highschool,45
Floral designers,10%,40%,30%,15%,5%,Highschool,45
Floriculture Professor,10%,20%,40%,20%,10%,PhD,61
Floriculturist,10%,60%,20%,10%,5%,Associates,11
Florist,10%,60%,10%,15%,5%,Highschool,45
Florist Designer,10%,40%,30%,15%,5%,Highschool,45
Flower Arranger,5%,60%,20%,10%,5%,Highschool,45
Flower Picker,5%,80%,5%,10%,0%,None,11
Fluid Dynamicist,40%,20%,30%,5%,5%,PhD,54
Flutist,5%,40%,40%,15%,0%,Bachelors,71
Food and Beverage Manager,20%,30%,20%,20%,10%,Associates,72
Food and beverage serving and related workers,5%,70%,10%,60%,5%,Highschool,72
Food and tobacco processing workers,10%,70%,5%,10%,5%,Highschool,31
Food Chemist,20%,30%,40%,5%,5%,PhD,54
Food Cooking Machine Operator,10%,70%,10%,5%,5%,Highschool,31
Food Counter Worker,5%,70%,5%,20%,0%,None,72
Food Dehydrator Operator,10%,70%,10%,5%,5%,Highschool,31
Food preparation workers,5%,80%,5%,10%,0%,Highschool,72
Food Preparer,5%,70%,10%,10%,5%,None,72
Food Preservation Scientist,30%,20%,40%,5%,5%,PhD,55
Food Processing Scientist,30%,20%,40%,10%,10%,Masters,31
Food Quality Control Technician,20%,40%,20%,10%,10%,Associates,31
Food Quality Technician,20%,40%,20%,10%,10%,Associates,31
Food Safety Scientist,30%,20%,40%,10%,10%,Masters,54
Food Scientist,30%,20%,40%,10%,10%,Masters,72
Food Service Director,20%,30%,20%,20%,10%,Bachelors,72
Food service managers,15%,40%,20%,60%,50%,Highschool,72
Food Technologist,30%,40%,20%,5%,5%,Bachelors,31
Foot and Ankle Surgeon,10%,30%,40%,20%,0%,Doctorate,62
Football Coach,10%,20%,30%,30%,10%,Bachelors,71
Foot Doctor,10%,30%,30%,20%,10%,Doctorate,62
Foot Orthopedist,10%,30%,40%,20%,5%,Doctorate,62
Foreign Banknote Teller,30%,50%,10%,10%,0%,Highschool,52
Foreign Correspondent,30%,20%,30%,20%,0%,Bachelors,51
Foreign Exchange Clerk,40%,40%,10%,10%,0%,Associates,52
Foreign Exchange Position Clerk,40%,40%,10%,10%,0%,Bachelors,52
Foreign Exchange Trader,70%,20%,70%,30%,20%,Bachelors,52
Forensic Analyst,70%,20%,70%,20%,10%,Bachelors,54
Forensic Materials Engineer,30%,20%,40%,10%,0%,Masters,54
Forensic Psychiatrist,20%,20%,40%,20%,0%,Doctorate,62
Forensic Psychologist,20%,20%,40%,20%,0%,PhD,62
Forensic science technicians,40%,30%,20%,5%,5%,Bachelors,54
Forensic Social Worker,20%,30%,30%,70%,10%,Masters,62
Forest and conservation workers,5%,60%,20%,10%,5%,Highschool,11
Forest Biometrics Professor,20%,10%,50%,10%,10%,PhD,61
Forest Ecologist,20%,20%,40%,10%,10%,Masters,11
Forest Ecology Professor,20%,10%,50%,20%,10%,PhD,61
Forester Aide,10%,40%,20%,20%,10%,Associates,11
Forest Fire Control Officer,10%,30%,30%,20%,10%,Associates,11
Forest Firefighter,5%,60%,20%,10%,5%,Highschool,11
Forest Fire Officer,10%,40%,30%,20%,20%,Associates,11
Forest Management Professor,20%,10%,40%,20%,10%,PhD,61
Forest Nursery Worker,5%,70%,10%,10%,5%,Highschool,11
Forest Pathology Professor,10%,20%,40%,20%,10%,PhD,61
Forest Resources Professor,20%,10%,40%,20%,10%,PhD,61
Forestry Laborer,5%,70%,10%,10%,5%,Highschool,11
Forestry Scientist,20%,20%,40%,10%,10%,PhD,11
Forest Technology Professor,20%,10%,40%,20%,10%,PhD,61
Forging Roll Operator,5%,70%,10%,5%,10%,Highschool,33
Forklift Driver,5%,80%,5%,5%,5%,Highschool,49
Forklift Mechanic,10%,60%,20%,5%,5%,Professional Certificate,81
Forklift Operator,5%,80%,5%,5%,5%,Highschool,49
Forklift Technician,10%,60%,20%,5%,5%,Professional Certificate,81
Forming Roll Operator,10%,70%,10%,5%,5%,Highschool,33
Formulary Chemist,20%,30%,40%,5%,5%,Masters,32
Foster Care Social Worker,30%,20%,25%,50%,10%,Masters,62
Foster Care Worker,20%,30%,20%,30%,10%,Bachelors,62
Foundation Director,30%,20%,25%,15%,10%,Masters,81
Foundry Equipment Mechanic,10%,60%,20%,5%,5%,Professional Certificate,33
Foundry Molder,5%,70%,10%,5%,10%,Highschool,33
Four Slide Machine Setter,5%,70%,15%,5%,5%,Highschool,33
Fraternity House Cook,5%,70%,10%,15%,0%,Highschool,72
Free Lance Artist,70%,10%,60%,30%,10%,Bachelors,71
Freight Brake Operator,5%,70%,10%,10%,5%,Highschool,48
Freight Broker,40%,30%,20%,60%,20%,Associates,48
Freight Car Repairer,5%,70%,15%,5%,5%,Highschool,48
Freight Checker,10%,70%,10%,10%,0%,Highschool,48
Freight Clerk,30%,50%,10%,10%,0%,Highschool,48
Freight Conductor,10%,60%,10%,10%,10%,Highschool,48
Freight Elevator Erector,5%,60%,20%,10%,5%,Professional Certificate,23
Freight Engineer,20%,40%,20%,10%,10%,Associates,48
Freight Handler,5%,70%,10%,10%,5%,Highschool,48
French Professor,20%,30%,30%,20%,0%,PhD,61
Fresco Artist,10%,30%,50%,10%,0%,Professional Certificate,71
Front-End Loader Operator,5%,80%,10%,5%,0%,Highschool,23
Front Desk Receptionist,30%,50%,10%,70%,5%,Highschool,72
Frozen Yogurt Maker,5%,70%,10%,10%,5%,None,72
Fruit and Vegetable Parer,5%,80%,5%,10%,0%,None,11
Fruit Buyer,20%,40%,20%,20%,10%,Highschool,11
Fruit Sprayer,5%,80%,5%,10%,0%,None,11
Fryline Attendant,5%,80%,5%,10%,0%,None,72
Fuels Engineer,30%,20%,30%,10%,10%,Bachelors,22
Fuel Truck Driver,5%,70%,10%,10%,5%,Highschool,48
Fumigator,5%,70%,10%,10%,5%,Highschool,56
Fund Accountant,70%,60%,40%,20%,10%,Bachelors,52
Funding Coordinator,40%,30%,20%,10%,10%,Bachelors,52
Fundraisers,30%,20%,25%,50%,20%,Bachelors,81
Fundraising Director,40%,20%,20%,60%,40%,Bachelors,81
Fundraising Officer,40%,20%,20%,20%,10%,Bachelors,81
Funeral Arrangement Director,20%,40%,20%,80%,40%,Associates,81
Funeral Arranger,20%,40%,20%,80%,20%,Associates,81
Funeral Car Driver,5%,70%,5%,20%,0%,Highschool,81
Funeral Home Director,20%,40%,20%,60%,40%,Associates,81
Funeral Home Makeup Artist,5%,60%,20%,15%,0%,Professional Certificate,81
Funeral Home Manager,20%,30%,20%,20%,10%,Associates,81
Funeral Service Manager,20%,30%,20%,20%,10%,Associates,81
Funeral service workers,10%,40%,20%,30%,10%,Associates,81
Furnace Converter,5%,70%,10%,10%,5%,Highschool,33
Furnace Fitter,5%,70%,10%,10%,5%,Highschool,33
Furnace Mason,5%,70%,15%,10%,0%,Professional Certificate,23
Furniture Arranger,10%,60%,20%,10%,0%,Highschool,44
Furniture Designer,30%,20%,40%,10%,5%,Bachelors,33
Furniture Refinisher,5%,70%,20%,5%,0%,Highschool,33
Furniture Sander,5%,80%,5%,5%,5%,None,33
Fur Trapper,5%,70%,15%,10%,5%,None,11
Gaffer,10%,40%,20%,20%,10%,Professional Certificate,51
Gage Designer,30%,40%,20%,5%,5%,Associates,33
Galactic Astronomer,40%,20%,35%,5%,0%,PhD,54
Galley Cook,5%,70%,10%,10%,5%,Highschool,72
Galvanizer,5%,70%,10%,10%,5%,Highschool,33
Gambling Cage Cashier,20%,60%,10%,10%,0%,Highschool,71
Gambling Cashier,20%,60%,10%,10%,0%,Highschool,71
Gambling Department Head,30%,20%,20%,20%,10%,Bachelors,71
Gambling Director,30%,20%,20%,20%,10%,Bachelors,71
Gambling Manager,30%,40%,10%,50%,60%,Associates,71
Gambling Monitor,30%,40%,10%,20%,0%,Highschool,71
Gambling services workers,10%,60%,10%,20%,5%,Highschool,71
Gambling Supervisor,10%,40%,20%,20%,10%,Highschool,71
Gambling Surveillance Observer,30%,50%,10%,10%,0%,Highschool,71
Gambling Surveillance Officer,40%,40%,10%,10%,0%,Highschool,71
Game Show Host,10%,30%,20%,40%,10%,Highschool,71
Game Warden,20%,40%,20%,20%,10%,Associates,11
Garbage Collector,5%,80%,5%,10%,0%,Highschool,56
Garbage Truck Driver,5%,80%,5%,5%,5%,Highschool,56
Gas Distribution and Emergency Clerk,40%,40%,10%,10%,5%,Associates,22
